0:0:88:  Mensagem 1 do filho dorminhoco
0:1:212:  Mensagem 4 do filho dorminhoco
0:3:363:  Mensagem 5 do filho dorminhoco
0:4:480:  Mensagem 7 do filho dorminhoco
0:6:630:  Mensagem 8 do filho dorminhoco
0:7:49925:  Mensagem 1 do usuario: <Mensagem>
A0:0:2:  Mensagem 2 do usuario: <1>

0:7:779:  Mensagem 13 do filho dorminhoco
0:9:922:  Mensagem 14 do filho dorminhoco
0:2:323240:  Mensagem 3 do usuario: <Mensagem>
A0:0:4:  Mensagem 4 do usuario: <2>

0:11:1038:  Mensagem 15 do filho dorminhoco
0:13:1146:  Mensagem 16 do filho dorminhoco
0:14:1239:  Mensagem 17 do filho dorminhoco
0:15:1408:  Mensagem 18 do filho dorminhoco
0:7:321635:  Mensagem 5 do usuario: <Mensagem>
A0:0:4:  Mensagem 6 do usuario: <3>

0:16:1600:  Mensagem 21 do filho dorminhoco
0:17:1779:  Mensagem 22 do filho dorminhoco
0:19:1938:  Mensagem 23 do filho dorminhoco
0:20:2107:  Mensagem 24 do filho dorminhoco
0:4:501985:  Mensagem 7 do usuario: <Fim>
A0:0:3:  Mensagem 8 do usuario: <das>


0:21:2281:  Mensagem 26 do filho dorminhoco
0:23:2412:  Mensagem 28 do filho dorminhoco
0:25:2557:  Mensagem 29 do filho dorminhoco
0:27:2702:  Mensagem 30 do filho dorminhoco
0:28:2848:  Mensagem 31 do filho dorminhoco
0:29:3018:  Mensagem 32 do filho dorminhoco
0:31:3139:  Mensagem 33 do filho dorminhoco
